Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,EEK,TMT,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS
01-Jan-09,1.2023,3.152,2.3475,2.4123,1.373,2.6518,2.388,5.644,5.872,0.8886,2.153,1.5792,0.881,1.668,1.369,1.1544,3.04,1.0966,1.849,4.541,1.695,4.456,1.1616,6.0457,2.447,2.152,3.43,0.9668,5.68,2.0824,7.582,1.5118,5.865,3.3697,6.8062,1.6038,5.438,4.832,1.1974,2.1662,1.381,4.232
02-Jan-09,1.2023,3.152,2.3475,2.4123,1.373,2.6518,2.388,5.644,5.872,0.8886,2.153,1.5792,0.881,1.668,1.369,1.1544,3.04,1.0966,1.849,4.541,1.695,4.456,1.1616,6.0457,2.447,2.152,3.43,0.9668,5.68,2.0824,7.582,1.5118,5.865,3.3697,6.8062,1.6038,5.438,4.832,1.1974,2.1662,1.381,4.232
03-Jan-09,1.2023,3.152,2.3475,2.4123,1.373,2.6518,2.388,5.644,5.872,0.8886,2.153,1.5792,0.881,1.668,1.369,1.1544,3.04,1.0966,1.849,4.541,1.695,4.456,1.1616,6.0457,2.447,2.152,3.43,0.9668,5.68,2.0824,7.582,1.5118,5.865,3.3697,6.8062,1.6038,5.438,4.832,1.1974,2.1662,1.381,4.232
04-Jan-09,1.2023,3.152,2.3475,2.4123,1.373,2.6518,2.388,5.644,5.872,0.8886,2.153,1.5792,0.881,1.668,1.369,1.1544,3.04,1.0966,1.849,4.541,1.695,4.456,1.1616,6.0457,2.447,2.152,3.43,0.9668,5.68,2.0824,7.582,1.5118,5.865,3.3697,6.8062,1.6038,5.438,4.832,1.1974,2.1662,1.381,4.232
05-Jan-09,1.2023,3.152,2.3475,2.4123,1.373,2.6518,2.388,5.644,5.872,0.8886,2.153,1.5792,0.881,1.668,1.369,1.1544,3.04,1.0966,1.849,4.541,1.695,4.456,1.1616,6.0457,2.447,2.152,3.43,0.9668,5.68,2.0824,7.582,1.5118,5.865,3.3697,6.8062,1.6038,5.438,4.832,1.1974,2.1662,1.381,4.232
06-Jan-09,1.2023,3.0658,2.2833,2.4186,1.364,2.593,2.4147,5.5569,5.6884,0.8597,2.1386,1.5166,0.8568,1.668,1.371,1.1873,3.0369,1.0921,1.7963,4.5415,1.683,4.3704,1.1353,5.9935,2.4418,2.1516,3.43,0.9759,5.6751,2.0811,6.2943,1.4872,5.867,3.336,6.8107,1.6038,5.438,4.8223,1.1974,2.1662,1.3801,4.2316
07-Jan-09,1.1583,3.0128,2.2435,2.4349,1.3501,2.4813,2.3857,5.471,5.5311,0.8409,2.0969,1.4926,0.8487,1.668,1.3946,1.1773,3.0371,1.0926,1.7805,4.5415,1.683,4.3095,1.1295,5.9138,2.4395,2.1513,3.4286,0.9719,5.6751,2.0798,6.2825,1.4578,5.867,3.303,6.7296,1.6038,5.438,4.8162,1.1974,2.1662,1.3801,4.2316
08-Jan-09,1.1583,3.0128,2.2435,2.4349,1.3501,2.4813,2.3857,5.471,5.5311,0.8409,2.0969,1.4926,0.8487,1.668,1.3946,1.1773,3.0371,1.0926,1.7805,4.5415,1.683,4.3095,1.1295,5.9138,2.4395,2.1513,3.4286,0.9719,5.6751,2.0798,6.2825,1.4578,5.867,3.303,6.7296,1.6038,5.438,4.8162,1.1974,2.1662,1.3801,4.2316
09-Jan-09,1.1594,3.0445,2.268,2.5058,1.3484,2.4464,2.3797,5.5922,5.4981,0.8392,2.1117,1.5153,0.8625,1.668,1.3883,1.1736,3.0396,1.0765,1.8164,4.5414,1.684,4.2649,1.126,5.9357,2.4413,2.151,3.4392,0.9786,5.6751,2.0798,6.2825,1.4484,5.867,3.2077,6.5612,1.6038,5.438,4.8079,1.1958,2.1662,1.3791,4.2316
10-Jan-09,1.1613,3.0585,2.279,2.5395,1.3498,2.4161,2.3931,5.6258,5.446,0.8311,2.1347,1.5244,0.8688,1.668,1.408,1.1808,3.0405,1.0723,1.8291,4.5414,1.684,4.3257,1.1287,5.9338,2.4406,2.1501,3.4279,0.9891,5.6751,2.0806,6.3062,1.4481,5.867,3.2388,6.5625,1.6038,5.4464,4.8072,1.1958,2.1662,1.3786,4.2316
11-Jan-09,1.1613,3.0585,2.279,2.5395,1.3498,2.4161,2.3931,5.6258,5.446,0.8311,2.1347,1.5244,0.8688,1.668,1.408,1.1808,3.0405,1.0723,1.8291,4.5414,1.684,4.3257,1.1287,5.9338,2.4406,2.1501,3.4279,0.9891,5.6751,2.0806,6.3062,1.4481,5.867,3.2388,6.5625,1.6038,5.4464,4.8072,1.1958,2.1662,1.3786,4.2316
