Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,TMT,LVL,LTL,MDL,AMD,TJS,UZS,UAH,KZT,KGS,ZAR,BRL,QAR,KRW
01-Jan-12,1.1008,2.9077,2.1614,2.5776,1.3631,2.0655,2.7774,4.8718,5.0025,0.6952,2.4219,1.778,0.8377,1.6703,1.6364,1.698,2.7734,0.8725,2.1586,4.5479,1.5014,4.3729,1.2868,6.0169,2.6534,2.1504,3.1397,1.2915,5.1879,2.1237,2.0004,5.8607,3.0761,6.2596,1.4257,4.3327,3.5099,0.9305,2.0905,1.1283,3.5932,2.0618,0.8951,,
02-Jan-12,1.1008,2.9077,2.1614,2.5776,1.3631,2.0655,2.7774,4.8718,5.0025,0.6952,2.4219,1.778,0.8377,1.6703,1.6364,1.698,2.7734,0.8725,2.1586,4.5479,1.5014,4.3729,1.2868,6.0169,2.6534,2.1504,3.1397,1.2915,5.1879,2.1237,2.0004,5.8607,3.0761,6.2596,1.4257,4.3327,3.5099,0.9305,2.0905,1.1283,3.5932,2.0618,0.8951,,
03-Jan-12,1.1008,2.9077,2.1614,2.5776,1.3631,2.0655,2.7774,4.8718,5.0025,0.6952,2.4219,1.778,0.8377,1.6703,1.6364,1.698,2.7734,0.8725,2.1586,4.5479,1.5014,4.3729,1.2868,6.0169,2.6534,2.1504,3.1397,1.2915,5.1879,2.1237,2.0004,5.8607,3.0761,6.2596,1.4257,4.3327,3.5099,0.9305,2.0905,1.1283,3.5932,2.0618,0.8951,,
04-Jan-12,1.1037,2.9246,2.1743,2.6019,1.3694,2.063,2.8117,4.8841,5.0268,0.6894,2.4406,1.7883,0.8507,1.6683,1.6495,1.7239,2.7667,0.8848,2.1742,4.5423,1.5222,4.3851,1.2977,6.0184,2.6489,2.1473,3.134,1.3131,5.1817,2.1212,1.998,5.8537,3.0837,6.2753,1.4248,4.3246,3.5059,0.9288,2.088,1.1242,3.5889,2.0708,0.8918,,
05-Jan-12,1.1086,2.9165,2.1686,2.6044,1.3671,2.0526,2.8157,4.8456,5.0199,0.6786,2.4412,1.7791,0.8409,1.6661,1.6446,1.7227,2.7624,0.8913,2.1725,4.5363,1.5123,4.335,1.2944,6.0061,2.6471,2.1448,3.1388,1.3136,5.1749,2.1184,1.9835,5.846,3.0911,6.2929,1.4246,4.3189,3.5012,0.9276,2.0853,1.1227,3.5842,2.0581,0.9104,,
06-Jan-12,1.1032,2.879,2.1407,2.5909,1.3545,2.0338,2.787,4.738,4.934,0.6652,2.4164,1.7572,0.8263,1.6664,1.6369,1.7092,2.763,0.8845,2.1681,4.537,1.5078,4.3238,1.2894,5.9964,2.6447,2.1457,3.1501,1.302,5.1758,2.1188,1.9744,5.847,3.0632,6.2449,1.4285,4.3197,3.5019,0.9277,2.0857,1.1242,3.5848,2.0266,0.9096,,
07-Jan-12,1.0943,2.8696,2.1334,2.5837,1.3509,2.0251,2.7781,4.7434,4.9131,0.6724,2.414,1.7519,0.8273,1.668,1.6367,1.7067,2.7634,0.8844,2.1626,4.5414,1.5084,4.3486,1.2894,6.0022,2.6438,2.1478,3.1609,1.302,5.1808,2.1211,1.974,5.8526,3.0327,6.1734,1.4283,4.3238,3.5053,0.9286,2.0877,1.1264,3.5883,2.034,0.9051,,
08-Jan-12,1.0943,2.8696,2.1334,2.5837,1.3509,2.0251,2.7781,4.7434,4.9131,0.6724,2.414,1.7519,0.8273,1.668,1.6367,1.7067,2.7634,0.8844,2.1626,4.5414,1.5084,4.3486,1.2894,6.0022,2.6438,2.1478,3.1609,1.302,5.1808,2.1211,1.974,5.8526,3.0327,6.1734,1.4283,4.3238,3.5053,0.9286,2.0877,1.1264,3.5883,2.034,0.9051,,
09-Jan-12,1.0943,2.8696,2.1334,2.5837,1.3509,2.0251,2.7781,4.7434,4.9131,0.6724,2.414,1.7519,0.8273,1.668,1.6367,1.7067,2.7634,0.8844,2.1626,4.5414,1.5084,4.3486,1.2894,6.0022,2.6438,2.1478,3.1609,1.302,5.1808,2.1211,1.974,5.8526,3.0327,6.1734,1.4283,4.3238,3.5053,0.9286,2.0877,1.1264,3.5883,2.034,0.9051,,
10-Jan-12,1.0897,2.8664,2.1311,2.5779,1.3502,2.0225,2.7805,4.7504,4.8954,0.6802,2.4107,1.7534,0.8255,1.6682,1.6228,1.7059,2.7652,0.8922,2.1719,4.5419,1.5071,4.35,1.2864,5.9921,2.6419,2.1484,3.1713,1.3094,5.1814,2.1213,1.9695,5.8533,3.0166,6.1553,1.426,4.3243,3.5055,0.9267,2.0879,1.125,3.5821,2.0496,0.8988,,
